place,region,lat,long,image_url,visited_year
"Hebron, Palestine",mena,31.5336282,35.0979762,https://i.imgur.com/of1mvxC.jpg,2022
Jerusalem,mena,31.79592425,35.21198076,https://i.imgur.com/SVwnp2Y.jpg,2022
"Jericho, Palestine",mena,31.8588002,35.4597469,https://i.imgur.com/gJQau48.jpg,2022
"Acre, Israel",mena,32.9281731,35.0756378,https://i.imgur.com/VqbHkN1.jpg,2022
"New York City, NY",nam,40.7127281,-74.0060152,https://i.imgur.com/C4IpcHZ.jpg,"2021, 2022, 2023"
"Greenwood Lake, NY",nam,41.2225932,-74.2943178,https://i.imgur.com/9grq7AK.jpg,2022
"Beacon, NY",nam,41.504879,-73.9696822,https://i.imgur.com/qAj3ISc.jpg,2022
"New Orleans, LA",nam,29.9759983,-90.0782127,https://i.imgur.com/4mugHGH.jpg,2022
"Las Vegas, NV",nam,36.1672559,-115.148516,https://i.imgur.com/XvG8vyJ.jpg,2022
"San Francisco, CA",nam,37.7790262,-122.419906,https://i.imgur.com/yEGVV5C.jpg,2022
"Page, AZ",nam,36.9148305,-111.457294,https://i.imgur.com/chCk1Xx.jpg,2022
"Tusayan, AZ",nam,35.9735954,-112.126556,https://i.imgur.com/4Zcp29o.jpg,2022
Grand Canyon North Rim,nam,36.1974532,-112.0529243,https://i.imgur.com/5Nn9G9c.jpg,2022
"Durham, NC",nam,35.996653,-78.9018053,https://i.imgur.com/0z9iumw.jpg,2022
"Cold Spring, NY",nam,41.4200938,-73.9545831,https://i.imgur.com/6d4H9op.jpg,2021
"Boston, MA",nam,42.3554334,-71.060511,https://i.imgur.com/Q1kiP1b.jpg,2021
"Salt Lake City, UT",nam,40.7596198,-111.886797,https://i.imgur.com/kHNOnmx.jpg,2023
"Montego Bay, Jamaica",nam,18.4724603,-77.9217357,https://i.imgur.com/cDWU3Y7.jpg,2023
"Philadelphia, PA",nam,39.9527237,-75.1635262,https://i.imgur.com/jDk011P.jpg,"2022, 2023"
"Portland, Maine",nam,43.6610277,-70.2548596,https://i.imgur.com/3LcaTiY.jpg,2021
"Scranton, PA",nam,41.4086874,-75.6621294,https://i.imgur.com/2JEANAU.jpg,2022
"Lancaster, PA",nam,40.03813,-76.3056686,https://i.imgur.com/fg1nqv7.jpg,2022
"Hoboken, NJ",nam,40.7433066,-74.0323752,https://i.imgur.com/s38czL6.jpg,2021
"Baltimore, MD",nam,39.2908816,-76.610759,https://i.imgur.com/raP0ycl.jpg,2022
"New Haven, CT",nam,41.3082138,-72.9250518,https://i.imgur.com/wGugM3i.jpg,2021
"Wilmington, DE",nam,39.7459468,-75.546589,https://i.imgur.com/qEBuai1.jpg,2022
"Vancouver, Canada",nam,49.2608724,-123.113952,NA,2002
"Oaxaca, Mexico",nam,17,-96.5,https://i.imgur.com/KPWRWMh.jpg,2020
"Merida, Mexico",nam,20.9670759,-89.6237402,https://i.imgur.com/keDA0Wt.jpg,2020
"Tulum, Mexico",nam,20.2152358,-87.42953531,https://i.imgur.com/rMCunrq.jpg,2020
"Valladolid, Mexico",nam,20.6902505,-88.2016999,https://i.imgur.com/o5QVHaR.jpg,2020
"Playa Del Carmen, Mexico",nam,20.6308643,-87.0779503,https://i.imgur.com/bhBhB3V.jpg,2020
"Ciudad De Mexico, Mexico",nam,19.4326296,-99.1331785,https://i.imgur.com/7PXuDCk.jpg,2020
"Uxmal, Mexico",nam,20.3591787,-89.7717568,https://i.imgur.com/YQCkXo1.jpg,2020
"Beijing, China",noa,39.906217,116.3912757,https://i.imgur.com/rWjMZJq.jpg,"2010, 2011, 2012, 2017, 2018, 2019"
"Shanghai, China",noa,31.2322758,121.4692071,https://i.imgur.com/g5N2rTP.jpg,"2010, 2012, 2015, 2017, 2018, 2019"
"Hangzhou, Zhejiang",noa,30.2489634,120.2052342,https://i.imgur.com/iDeKDgl.jpg,"2015, 2017, 2018, 2019"
"Guangzhou, Guangdong",noa,23.1301964,113.2592945,https://i.imgur.com/EckPagG.jpg,2019
"Qiandaohu, Zhejiang",noa,29.6092534,119.0729204,https://i.imgur.com/uOzS6Ax.jpg,2015
"Huangshan, Anhui",noa,30.13235465,118.1566918,https://i.imgur.com/ocnrUgD.jpg,2015
"Xi'an, Shaanxi",noa,34.2607713,108.9423443,NA,2010
"Ordos, Inner Mongolia",noa,39.6081457,109.7763659,https://i.imgur.com/nykpJRH.jpg,2017
"Hongcun, Anhui",noa,30.004784,117.9847312,https://i.imgur.com/5Ucok3S.jpg,2015
"Taipei, Taiwan",noa,25.0375198,121.5636796,https://i.imgur.com/jXxs8r5.jpg,2016
"Yehliu, Taiwan",noa,25.2038994,121.6886491,https://i.imgur.com/YSxIUPp.jpg,2016
"Sanya, Hainan",noa,18.2534658,109.5034392,https://i.imgur.com/lyuYMMO.jpg,2015
"Fuzhou, Fujian",noa,26.0774954,119.2918215,https://i.imgur.com/8IyGf52.jpg,2015
"Ningde, Fujian",noa,26.6695006,119.5432715,https://i.imgur.com/r7VrRZC.jpg,2015
"Xiamen, Fujian",noa,24.4801069,118.0853479,https://i.imgur.com/DpF0E1O.jpg,2019
Hong Kong SAR,noa,22.350627,114.1849161,https://i.imgur.com/2IfybQB.jpg,"2007, 2009, 2010, 2011, 2018"
